date,Mkt.RF,SMB,HML,RMW,CMA,RF,CAT,IBM,MS,BHP,SAM,DD,GE,XOM,CSCO
4/03/2004,0.44,0.73,0.29,-0.84,0.44,0.004,-0.544722855,-0.465789314,1.055850956,-0.583707726,-0.576667406,0.695231097,0.152111037,-0.358638245,2.135667269
5/03/2004,0.24,-0.04,-0.22,0.49,-0.23,0.004,-0.691536444,0.062272797,0.531792868,2.106462883,0.419727794,-2.312931739,-0.39593006,1.756973598,-1.302162828
8/03/2004,-0.84,-0.24,0.2,0.73,-0.4,0.004,0.678570259,-1.947304999,-1.996681379,-2.053240881,0.782272568,-1.117071393,-2.910417466,0.16458405,-2.342656181
9/03/2004,-0.66,-0.4,-0.34,0.56,-0.58,0.004,-0.63934445,-0.063475579,-0.724032216,0.212513834,0.155728032,-2.247804821,-0.851889883,0.515587319,-1.079133554
10/03/2004,-1.5,-0.25,-0.39,0.47,-0.79,0.004,-3.85609185,-1.567277655,-1.850206069,-4.505471388,-0.520027159,-2.474756428,-1.468245287,-0.82148712,0.40604178
11/03/2004,-1.42,0.33,-0.16,-0.05,-0.04,0.004,-0.490940914,-2.007965664,-0.151565936,-2.53037259,-0.365625887,-2.357777403,-2.210757358,-2.578315359,0.583635273
12/03/2004,1.34,0.97,0.22,-0.83,0.61,0.004,2.404235056,2.265555441,2.183234687,2.752197879,0.989323352,0.995490646,0.589950834,1.63105906,3.475139904
15/03/2004,-1.56,-1,-0.29,1.08,-0.76,0.004,-1.275987778,-1.598981625,-2.436256831,-0.77863499,-1.566606493,-2.677088056,-0.985226583,-0.59658322,-1.524724557
16/03/2004,0.43,-0.64,-0.07,0.32,-0.24,0.004,1.834889141,0.68378743,0.033765005,1.606219305,-5.018587456,1.038160351,0.657884151,0.691721066,1.481513578
17/03/2004,1.22,0.7,0.36,-0.88,0.87,0.004,2.451467403,1.011588049,2.07222394,2.335152999,1.53764699,1.231708692,0.848847006,0.403246598,1.630193451
18/03/2004,-0.2,-0.46,0.12,0.08,-0.2,0.004,-0.025843275,-0.579870746,-0.913822178,0.642081561,-1.095901379,0.178349058,-0.130107796,0.519539575,-1.414167018
19/03/2004,-1,0.39,0.27,0.16,-0.09,0.004,-1.172691092,-1.333579423,-0.501975332,-1.126284467,-0.829880281,-0.331456362,-1.906066818,-2.286935013,-2.93433379
22/03/2004,-1.42,-0.6,-0.22,0.67,-0.7,0.004,-1.053999785,-0.657028853,-2.32509668,-2.181136304,-0.445435035,-3.694527811,-2.45183679,-1.358587699,-0.668889616
23/03/2004,-0.09,0.4,0.02,0.46,-0.19,0.004,0.462488461,0.329091263,-1.348316318,0.932818213,0.16727631,3.361882575,-0.716616984,-0.440620974,0.044724548
24/03/2004,-0.27,-0.18,-0.12,-0.23,0.14,0.004,0.63082382,0.491513477,-2.752501899,-4.182414196,-1.742117676,0.153671498,-0.06851422,-1.632501413,1.376886471
25/03/2004,1.68,0.56,-0.19,-1.14,0.76,0.004,1.068590708,0.673295591,1.156053951,2.474827343,0.339570219,2.201765185,1.766352551,0.373417818,3.93567235
26/03/2004,0,0.36,0.36,-0.12,0.2,0.004,0.375179296,0.4104661,0.317837247,0.940015787,0.843881215,-0.527060422,1.337840308,1.210033161,-0.76630294
29/03/2004,1.34,0.52,-0.22,-0.27,0.27,0.004,2.600144241,-0.097010184,0.052831031,1.149135062,2.21615718,3.135251595,1.25452043,0.85542365,1.904810981
30/03/2004,0.47,0.49,0.15,-0.12,0.13,0.004,0.652161438,-0.389207426,0.702252166,1.618995064,-0.2743431,-0.76534173,0.686637244,1.1132348,0.334866194
31/03/2004,0,0.22,0.22,0.4,0.02,0.004,-1.169337381,-0.521296975,0.244640199,0.533918916,1.20153818,-0.173666161,-0.555450887,0.096240791,-1.515766362
1/04/2004,0.64,0.19,0.04,-0.45,0.14,0.004,-0.088546452,0.575478731,-0.139707419,1.794238591,1.240911526,0.618755273,0.327073525,-0.168452399,0.718619009
2/04/2004,0.9,0.58,0.05,-1.11,0.84,0.004,2.746719071,1.961755584,-0.8247781,1.350682659,0.694638094,2.099661376,1.426786951,0.934957344,2.865057806
5/04/2004,0.79,0.04,-0.4,-0.48,-0.05,0.004,1.479159448,-0.021210787,-0.264678052,-1.246113934,1.689580802,-0.776131079,1.660268485,0.807981469,1.543477877
6/04/2004,-0.28,-0.61,0.19,0.81,-0.48,0.004,0.604855186,-0.510967758,1.059126324,-1.103253286,0.522199606,0.800302239,-0.19013608,-0.142132127,-0.646973921
7/04/2004,-0.5,0.87,-0.12,0.1,-0.07,0.004,-0.98172824,-0.663895606,-0.793261814,1.155479819,-1.363419056,-1.631593351,-0.381433427,-0.689746731,-1.677260809
8/04/2004,-0.14,-0.36,0.16,-0.69,0.25,0.004,-0.1462845,0.042963185,-0.532404359,-1.049884813,1.311322157,0.12268974,0.031835414,1.304168649,-0.371991526
12/04/2004,0.5,0.17,-0.32,-0.05,0,0.004,2.136102632,0.663574183,0.266515633,1.25852982,-1.628625438,1.508903611,0.66634287,1.542755978,-0.082846557
13/04/2004,-1.5,-0.63,-0.37,0.42,-0.32,0.004,-2.08725838,-0.749567739,-3.48503545,-3.096878876,-0.957953041,-1.484428735,-1.980231746,-0.675011479,-2.136199376
14/04/2004,-0.21,-0.42,-0.44,-0.16,0.12,0.004,-1.214396077,0.706925978,-1.98577595,-2.415059156,0,0.513598214,-1.691692349,1.114755438,-1.535873688
15/04/2004,-0.04,-0.25,-0.38,1.14,-0.68,0.004,-0.284302907,-0.267163502,0.28078102,-0.055593392,0,0.267897369,0.91442932,0.873775038,-1.909797754
16/04/2004,0.46,0.07,0.1,0.78,-0.57,0.004,1.437688129,-1.259944085,1.906887505,1.325293518,0.160293912,1.400992363,1.516437806,0.411259525,-1.501062211
19/04/2004,0.22,0.43,-0.29,-0.55,0.27,0.004,-1.190409077,-0.369120161,-0.477848027,-0.550090345,0.160042712,0.023952607,-0.417135856,-0.296853105,1.676198582
20/04/2004,-1.48,-0.17,0.01,0.68,-0.15,0.004,-1.267295251,-1.413023445,-2.292563603,-2.230985771,1.271203559,-2.74720004,-2.046538206,-0.988181458,-3.335863959
21/04/2004,0.6,0.5,0,-0.08,0.26,0.004,1.366037505,0.670626373,-0.491420839,-3.034850948,0.367744045,0.712280493,0.752015975,-0.81160315,1.169079567
22/04/2004,1.44,0.17,-0.07,0.04,-0.02,0.004,4.114368619,-0.571373722,1.317552589,3.260221879,0.523013745,2.417872114,0.487418529,0.81160315,3.427380479
23/04/2004,-0.01,-0.37,-0.04,-0.43,0.12,0.004,-2.577526814,0.59332997,-0.844959387,0.784750817,-0.785549994,-1.104964385,-0.519990323,-0.765033321,0.731687972
26/04/2004,-0.33,-0.05,-0.34,-0.01,0.36,0.004,-1.301723086,-0.935544192,1.180978941,-2.087521813,0.524390281,0.746050906,0.195294403,0.093057588,-0.774873784
27/04/2004,0.13,0.08,-0.12,0.59,-0.77,0.004,1.106321413,0.749112423,-0.167902074,0.341483469,-0.104662487,0.406695523,-0.652527837,1.705867205,-0.868030483
